chest_type,title,title_color,item,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9
gold,防衛戦宝箱 (金),text-yellow-400,いずれかインクⅠ,高,高,高,高,高,高,中,中,中
gold,防衛戦宝箱 (金),text-yellow-400,いずれかインクⅡ,低,低,中,中,中,中,中,中,中
gold,防衛戦宝箱 (金),text-yellow-400,いずれかインクⅢ,稀,低,低,低,低,中,高,高,高
gold,防衛戦宝箱 (金),text-yellow-400,記憶の書,高,高,高,高,高,高,高,高,高
gold,防衛戦宝箱 (金),text-yellow-400,ギルドコイン,高,高,高,高,高,高,高,高,高
gold,防衛戦宝箱 (金),text-yellow-400,高濃度コンパクトポーション,-,-,-,-,-,-,-,-,-
gold,防衛戦宝箱 (金),text-yellow-400,高濃度コンパクトマナポーション,-,-,-,-,-,-,-,-,-
silver,防衛戦宝箱 (銀),text-gray-200,いずれかインクⅠ,中,高,高,高,高,高,高,中,中
silver,防衛戦宝箱 (銀),text-gray-200,いずれかインクⅡ,低,中,中,中,中,高,中,やや高,やや高
silver,防衛戦宝箱 (銀),text-gray-200,いずれかインクⅢ,稀,稀,稀,稀,稀,低,中,中,やや高
silver,防衛戦宝箱 (銀),text-gray-200,記憶の書,高,高,高,高,高,高,高,高,高
silver,防衛戦宝箱 (銀),text-gray-200,ギルドコイン,高,高,高,高,高,高,高,高,高
silver,防衛戦宝箱 (銀),text-gray-200,高濃度コンパクトポーション,-,-,-,-,-,-,-,-,-
silver,防衛戦宝箱 (銀),text-gray-200,高濃度コンパクトマナポーション,-,-,-,-,-,-,-,-,-
bronze,防衛戦宝箱 (銅),text-amber-600,いずれかインクⅠ,中,中,高,高,高,高,高,高,高
bronze,防衛戦宝箱 (銅),text-amber-600,いずれかインクⅡ,稀,低,低,低,低,中,中,中,中
bronze,防衛戦宝箱 (銅),text-amber-600,いずれかインクⅢ,稀,稀,稀,稀,稀,低,低,低,中
bronze,防衛戦宝箱 (銅),text-amber-600,記憶の書,低,中,高,高,高,高,高,高,高
bronze,防衛戦宝箱 (銅),text-amber-600,ギルドコイン,低,中,高,高,高,高,高,高,高
bronze,防衛戦宝箱 (銅),text-amber-600,高濃度コンパクトポーション,高,高,高,中,中,中,低,低,低
bronze,防衛戦宝箱 (銅),text-amber-600,高濃度コンパクトマナポーション,高,高,高,中,中,中,低,低,低 
